"Prosta delovna mesta, zasedena delovna mesta ter stopnja prostih"
"delovnih mest (originalni podatki) po: MERITVE, SKD DEJAVNOST ,"
"ÈETRTLETJE"

" ";" ";"2011Q1";"2011Q2";"2011Q3";"2011Q4";"2012Q1";"2012Q2";"2012Q3";"2012Q4";"2013Q1";"2013Q2";"2013Q3";"2013Q4";"2014Q1";"2014Q2";"2014Q3";"2014Q4";"2015Q1";"2015Q2"
"Število prostih delovnih mest  - SKUPAJ"
" ";"SKD Dejavnost - SKUPAJ (B do S)";5389;6023;7055;5643;5887;5174;6177;3961;4836;5432;6811;5782;7629;8696;8995;7015;9845;9947
" ";"B RUDARSTVO";13;11;3;4;3;2;7;2;2;4;4;4;4;32;4;4;1;1
" ";"C PREDELOVALNE DEJAVNOSTI";1188;1216;1341;1159;1145;1093;1251;807;916;1040;1425;1329;1715;1943;2100;1551;2206;2082
" ";"D OSKRBA Z ELEKTRIÈNO ENERGIJO, PLINOM IN PARO";14;18;18;61;14;17;24;16;16;22;23;25;27;30;31;57;28 M;N
" ";"E OSKRBA Z VODO, RAVNANJE Z ODPLAKAMI IN ODPADKI, SANIRANJE OKOLJA";17;42;32;24;21;21;31;15;33;35;40;44;48;62;51;46;N;N
" ";"F GRADBENIŠTVO";812;1296;1351;1142;1439;1197;1338;749;1198;1279;1295;655;1702;1939;1527;609;2256;1929
" ";"G TRGOVINA, VZDRŽEVANJE IN POPRAVILA MOTORNIH VOZIL";770;586;771;603;578;500;614;481;470;570;626;686;753;922;820;807;1646 M;1194 M
" ";"H PROMET IN SKLADIŠÈENJE";311;316;472;464;347;322;304;223;299;349;406;472;549;642;753;894;550;699
" ";"I GOSTINSTVO";382;372;431;315;337;334;315;293;262;366;430;493;556;668;608;571;644 M;1059 M
" ";"J INFORMACIJSKE IN KOMUNIKACIJSKE DEJAVNOSTI";115;86;111;103;130;68;108;90;90;103;169;194;226;247;296;304;293;378 M
" ";"K FINANÈNE IN ZAVAROVALNIŠKE DEJAVNOSTI";176;115;168;113;90;100;97;89;87;114;131;151;174;252;190;170;178 M;241
" ";"L POSLOVANJE Z NEPREMIÈNINAMI";41;42;28;28;29;24;37;21;28;30;32;34;37;41;41;44;N;80 M
" ";"M STROKOVNE, ZNANSTVENE IN TEHNIÈNE DEJAVNOSTI";391;375;636;412;514;361;379;364;341;370;504;435;559;568;718;608;680;693
" ";"N DRUGE RAZNOVRSTNE POSLOVNE DEJAVNOSTI";498;609;754;634;638;484;545;362;583;522;522;522;522;498;522;451;503;730
" ";"O DEJAVNOST JAVNE UPRAVE IN OBRAMBE, DEJAVNOST OBVEZNE SOCIALNE VARNOSTI";72;75;63;60;47;47;37;29;61;106;151;195;239;264;240;206;43;106
" ";"P IZOBRAŽEVANJE";243;529;468;184;211;235;705;141;153;187;685;180;150;149;665;230;148 M;118 M
" ";"Q ZDRAVSTVO IN SOCIALNO VARSTVO";227;214;282;212;248;278;249;181;201;218;224;229;235;239;249;304;218 M;343 M
" ";"R KULTURNE, RAZVEDRILNE IN REKREACIJSKE DEJAVNOSTI";42;36;39;54;38;31;56;33;40;50;55;61;67;114;72;73;N;46 M
" ";"S DRUGE DEJAVNOSTI";77;85;87;71;58;60;80;65;56;67;89;73;66;86;108;86;235 M;196 M
"Število zasedenih delovnih mest - SKUPAJ"
" ";"SKD Dejavnost - SKUPAJ (B do S)";704369;708671;706508;705870;699835;702458;696760;689734;664390;669601;671154;669400;663111;672720;676588;677955;677859;687839
" ";"B RUDARSTVO";2872;2891;2853;2778;2786;2804;2756;2689;2537;2553;2543;2529;2515;2473;2439;2420;2378;2371
" ";"C PREDELOVALNE DEJAVNOSTI";176102;176872;176731;178708;177283;177130;175762;173681;167213;167282;167477;167318;166844;167386;168201;168384;169891;170866
" ";"D OSKRBA Z ELEKTRIÈNO ENERGIJO, PLINOM IN PARO";7717;7765;7784;7826;7801;7833;7828;7812;7619;7696;7749;7754;7675;7808;7814;7789;7507;7529
" ";"E OSKRBA Z VODO, RAVNANJE Z ODPLAKAMI IN ODPADKI, SANIRANJE OKOLJA";8950;9236;9462;9477;9329;9565;9560;9367;9043;9181;9294;9394;9185;9055;9084;9031;8845;9032
" ";"F GRADBENIŠTVO";59889;59892;59036;55871;52381;54234;53372;50492;45062;48342;49686;48226;44558;47879;48996;47786;44264;48740
" ";"G TRGOVINA, VZDRŽEVANJE IN POPRAVILA MOTORNIH VOZIL";98819;99153;98646;98570;97850;97682;96767;96331;93191;91531;91410;91406;90751;91189;91486;91867;91800;92789
" ";"H PROMET IN SKLADIŠÈENJE";41680;42011;41923;41564;41423;41556;41321;41032;39814;41291;40978;40802;40871;41284;41637;42007;40594;41115
" ";"I GOSTINSTVO";27433;27660;27623;27439;27191;27237;27130;26637;25581;25797;25807;25251;24860;25538;26037;25934;24683;25756
" ";"J INFORMACIJSKE IN KOMUNIKACIJSKE DEJAVNOSTI";20092;20028;20053;20124;20243;20410;20302;20409;20098;20119;20153;20326;20370;20278;20233;20457;20593;20699
" ";"K FINANÈNE IN ZAVAROVALNIŠKE DEJAVNOSTI";22743;22789;22906;22478;22359;22324;22101;21751;21169;21133;20982;20900;20831;20610;20540;20418;20348;20337
