"Occupation";"Total_employment"
"All Occupations";135128260
"Office and Administrative Support Occupations";21638470
"Sales and Related Occupations";14248470
"Food Preparation and Serving Related Occupations";12277720
"Transportation and Material Moving Occupations";9249310
"Production Occupations";8934050
"Retail Sales Workers";8648920
"Education, Training, and Library Occupations";8435780
"Healthcare Practitioners and Technical Occupations";7854380
"Food and Beverage Serving Workers";6883630
"Business and Financial Operations Occupations";6828940
"Management Occupations";6741640
"Information and Record Clerks";5439370
"Construction and Extraction Occupations";5290270
"Installation, Maintenance, and Repair Occupations";5244670
"Health Diagnosing and Treating Practitioners";4833840
"Retail Salespersons";4562160
"Building and Grounds Cleaning and Maintenance Occupations";4371450
"Material Moving Workers";4364160
"Business Operations Specialists";4264370
"Personal Care and Service Occupations";4154360
"Preschool, Primary, Secondary, and Special Education School Teachers";4045100
"Healthcare Support Occupations";3940500
"Other Office and Administrative Support Workers";3925760
"Construction Trades Workers";3915350
"Material Recording, Scheduling, Dispatching, and Distributing Workers";3880030
"Computer and Mathematical Occupations";3834180
"Motor Vehicle Operators";3741430
"Computer Occupations";3692980
"Secretaries and Administrative Assistants";3649920
"Fast Food and Counter Workers";3607860
"Laborers and Material Movers, Hand";3519730
"Cashiers";3417910
"Protective Service Occupations";3297180
"Financial Clerks";3217850
"Building Cleaning and Pest Control Workers";3150530
"Combined Food Preparation and Serving Workers, Including Fast Food";3131390
"Building Cleaning Workers";3082890
"Cooks and Food Preparation Workers";3077690
"Office Clerks, General";2889970
"Health Technologists and Technicians";2876000
"Driver/Sales Workers and Truck Drivers";2828110
"Other Installation, Maintenance, and Repair Occupations";2729400
"Registered Nurses";2687310
"Financial Specialists";2564560
"Other Personal Care and Service Workers";2556920
"Customer Service Representatives";2511130
"Other Production Occupations";2471030
"Waiters and Waitresses";2445230
"Architecture and Engineering Occupations";2418020
"Laborers and Freight, Stock, and Material Movers, Hand";2400490
"Nursing, Psychiatric, and Home Health Aides";2352100
"Top Executives";2351130
"Cooks";2227470
"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive";2207220
"Janitors and Cleaners, Except Maids and Housekeeping Cleaners";2137730
"Other Management Occupations";2136840
"General and Operations Managers";2049870
"Elementary and Middle School Teachers";1997640
"Community and Social Service Occupations";1930750
"Metal Workers and Plastic Workers";1918310
"Stock Clerks and Order Fillers";1878860
"Counselors, Social Workers, and Other Community and Social Service Specialists";1857280
"Assemblers and Fabricators";1810560
"Arts, Design, Entertainment, Sports, and Media Occupations";1793700
"Sales Representatives, Services";1736660
"Sales Representatives, Wholesale and Manufacturing";1730180
"Heavy and Tractor-Trailer Truck Drivers";1625290
"Operations Specialties Managers";1624000
"Bookkeeping, Accounting, and Auditing Clerks";1575060
"Engineers";1574480
"Postsecondary Teachers";1522210
"Vehicle and Mobile Equipment Mechanics, Installers, and Repairers";1507680
"Software Developers and Programmers";1492040
"Other Protective Service Workers";1485490
"Other Education, Training, and Library Occupations";1453820
"Supervisors of Sales Workers";1448550
"First-Line Supervisors of Sales Workers";1448550
"Nursing Assistants";1427740
"Other Healthcare Support Occupations";1421960
"Supervisors of Office and Administrative Support Workers";1404070
"First-Line Supervisors of Office and Administrative Support Workers";1404070
"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products";1394640
"Miscellaneous Assemblers and Fabricators";1384290
"Elementary School Teachers, Except Special Education";1353020
"Miscellaneous Healthcare Support Occupations";1334290
"Other Food Preparation and Serving Related Workers";1330930
"Maintenance and Repair Workers, General";1282920
"Personal Care Aides";1257000
"Law Enforcement Workers";1216140
"First-Line Supervisors of Retail Sales Workers";1199770
"Teacher Assistants";1192590
"Accountants and Auditors";1187310
"Other Teachers and Instructors";1160720
"Life, Physical, and Social Science Occupations";1144440
"Team Assemblers";1125160
"Cooks, Restaurant";1104790
"Security Guards and Gaming Surveillance Officers";1087550
"Security Guards";1077520
"Legal Occupations";1052900
"Secondary School Teachers";1041940
"Supervisors of Food Preparation and Serving Workers";985470
"Receptionists and Information Clerks";981150
"Secondary School Teachers, Except Special and Career/Technical Education";960380
"Grounds Maintenance Workers";950780
"Miscellaneous Business Operations Specialists";934370
"Business Operations Specialists, All Other";934370
"Maids and Housekeeping Cleaners";929540
"Miscellaneous Teachers and Instructors";892360
"Landscaping and Groundskeeping Workers";868770
"First-Line Supervisors of Food Preparation and Serving Workers";867340
"Construction Laborers";852870
"Food Preparation Workers";850220
"Miscellaneous Production Workers";834750
"Miscellaneous Sales Representatives, Services";826650
"Sales Representatives, Services, All Other";826650
"Home Health Aides";799080
"Light Truck or Delivery Services Drivers";797010
"Automotive Technicians and Repairers";786200
"Food Processing Workers";767460
"Computer Support Specialists";738030
"Executive Secretaries and Executive Administrative Assistants";713730
"Health Practitioner Support Technologists and Technicians";700820
"Licensed Practical and Licensed Vocational Nurses";695610
"Packers and Packagers, Hand";693170
"Software Developers, Applications";686470
"Other Sales and Related Workers";684170
"Drafters, Engineering Technicians, and Mapping Technicians";682950
"Counter and Rental Clerks and Parts Salespersons";668850
"Lawyers, Judges, and Related Workers";663910
"Shipping, Receiving, and Traffic Clerks";661530
"Bus Drivers";657500
"Police Officers";642190
"Miscellaneous Community and Social Service Specialists";640230
"Police and Sheriff's Patrol Officers";638810
"Physicians and Surgeons";633480
"Automotive Service Technicians and Mechanics";633390
"Middle School Teachers, Except Special and Career/Technical Education";630620
"Advertising, Marketing, Promotions, Public Relations, and Sales Managers";629670
"Substitute Teachers";622600
"Database and Systems Administrators and Network Architects";617680
"Carpenters";617060
"Lawyers and Judicial Law Clerks";614970
"Counselors";613750
"Therapists";609870
"Computer and Information Analysts";608500
"Lawyers";603310
"Social Workers";603300
"Supervisors of Production Workers";592830
"First-Line Supervisors of Production and Operating Workers";592830
"Management Analysts";587450
"Medical Assistants";584970
"Childcare Workers";582970
"Bartenders";579700
"Textile, Apparel, and Furnishings Workers";574440
"Electrical and Electronic Equipment Mechanics, Installers, and Repairers";572780
"Electricians";566930
"Computer User Support Specialists";563540
"Recreation and Fitness Workers";562110
"Entertainment Attendants and Related Workers";560350
"Media and Communication Workers";556340
"Financial Analysts and Advisors";550820
"Marketing and Sales Managers";543410
"Human Resources Workers";536900
"Art and Design Workers";531920
"Computer Systems Analysts";528320
"Industrial Truck and Tractor Operators";521840
"Cooks, Fast Food";519910
"Financial Managers";518030
"Medical Secretaries";516050
"Tellers";514520
"Preschool and Kindergarten Teachers";510650
"Dishwashers";502280
"Postal Service Workers";501000
"Bus Drivers, School or Special Client";499440
"Supervisors of Construction and Extraction Workers";496370
"First-Line Supervisors of Construction Trades and Extraction Workers";496370
"Special Education Teachers";494870
"Personal Appearance Workers";493840
"Entertainers and Performers, Sports and Related Workers";491110
"Billing and Posting Clerks";490860
"Inspectors, Testers, Sorters, Samplers, and Weighers";489750
"Counter Attendants, Cafeteria, Food Concession, and Coffee Shop";476470
"Market Research Analysts and Marketing Specialists";468160
"Miscellaneous Postsecondary Teachers";458990
"Human Resources Specialists";456170
"Bailiffs, Correctional Officers, and Jailers";450730
"Farming, Fishing, and Forestry Occupations";447130
"Industrial Machinery Installation, Repair, and Maintenance Workers";445630
"Designers";445200
"Education Administrators";441950
"Counter and Rental Clerks";437610
"Supervisors of Installation, Maintenance, and Repair Workers";434810
"First-Line Supervisors of Mechanics, Installers, and Repairers";434810
"Correctional Officers and Jailers";434420
"Engineering Technicians, Except Drafters";432950
"Welding, Soldering, and Brazing Workers";424960
"Helpers--Production Workers";420520
"Pipelayers, Plumbers, Pipefitters, and Steamfitters";413650
"Dining Room and Cafeteria Attendants and Bartender Helpers";410460
"Buyers and Purchasing Agents";410230
"Driver/Sales Workers";405810
"Construction Equipment Operators";402920
"Cooks, Institution and Cafeteria";402800
"Machinists";392700
"Legal Support Workers";388990
"Other Construction and Related Workers";384390
"Agricultural Workers";383570
"Software Developers, Systems Software";382400
"Packaging and Filling Machine Operators and Tenders";381760
"Insurance Sales Agents";374700
"Supervisors of Transportation and Material Moving Workers";374480
"Butchers and Other Meat, Poultry, and Fish Processing Workers";373440
"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop";372670
"Plumbers, Pipefitters, and Steamfitters";372570
"Welders, Cutters, Solderers, and Brazers";369610
"Pharmacy Technicians";368760
"Network and Computer Systems Administrators";365430
"Miscellaneous Managers";361900
"Managers, All Other";361900
"Sales Managers";358920
"Diagnostic Related Technologists and Technicians";357690
"Miscellaneous Protective Service Workers";357610
"Barbers, Hairdressers, Hairstylists and Cosmetologists";357280
"Social and Human Service Assistants";354800
"Preschool Teachers, Except Special Education";352420
"Life, Physical, and Social Science Technicians";351990
"Miscellaneous Installation, Maintenance, and Repair Workers";349210
"Bill and Account Collectors";346960
"Operating Engineers and Other Construction Equipment Operators";344510
"Hairdressers, Hairstylists, and Cosmetologists";343140
"Machine Tool Cutting Setters, Operators, and Tenders, Metal and Plastic";342520
"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products";335540
"Miscellaneous Agricultural Workers";332560
"Other Transportation Workers";331570
"Computer and Information Systems Managers";330360
"Credit Counselors and Loan Officers";330180
"Clinical Laboratory Technologists and Technicians";322170
"Fire Fighting and Prevention Workers";321790
"Cleaners of Vehicles and Equipment";321740
"Recreation Workers";321110
"Securities, Commodities, and Financial Services Sales Agents";316340
"Miscellaneous Entertainment Attendants and Related Workers";315910
"Plant and System Operators";315200
"Dental Assistants";314330
"Industrial Machinery Mechanics";313880
"Physicians and Surgeons, All Other";311320
"Medical and Health Services Managers";310320
"Firefighters";308790
"Electrical and Electronics Engineers";308530
"Postal Service Mail Carriers";307490
"Computer Programmers";302150
"Loan Officers";300580
"Production, Planning, and Expediting Clerks";297050
"Pharmacists";290780
"Purchasing Agents, Except Wholesale, Retail, and Farm Products";288430
"Data Entry and Information Processing Workers";287240
"Dispatchers";286710
"Child, Family, and School Social Workers";286520
"Arts, Communications, and Humanities Teachers, Postsecondary";281020
"Claims Adjusters, Appraisers, Examiners, and Investigators";279980
"Life Scientists";278790
"Physical Scientists";274510
"Amusement and Recreation Attendants";274230
"Supervisors of Protective Service Workers";273750
"Paralegals and Legal Assistants";272580
"Mechanical Engineers";270700
"Supervisors of Building and Grounds Cleaning and Maintenance Workers";270150
"First-Line Supervisors of Building and Grounds Cleaning and Maintenance Workers";270150
"Teachers and Instructors, All Other, Except Substitute Teachers";269760
"Extraction Workers";269660
"Farmworkers and Laborers, Crop, Nursery, and Greenhouse";269650
"Electrical, Electronics, and Electromechanical Assemblers";269250
"Administrative Services Managers";268730
"Claims Adjusters, Examiners, and Investigators";266280
"Civil Engineers";263460
"Financial Analysts";262610
"Industrial Engineers, Including Health and Safety";261510
"Heating, Air Conditioning, and Refrigeration Mechanics and Installers";261390
"Printing Workers";254360
"Librarians, Curators, and Archivists";253930
"Insurance Claims and Policy Processing Clerks";252670
"Food Servers, Nonrestaurant";250840
