"";"TOT_EMP";"H_MEAN";"A_MEAN";"H_PCT10";"H_PCT25";"H_MEDIAN";"H_PCT75";"H_PCT90";"A_PCT10";"A_PCT25";"A_MEDIAN";"A_PCT75";"A_PCT90"
"Top Executives";2351130;58,68;122060;20,94;31,86;48,51;76,43;90;43570;66270;100910;158980;187200
"Chief Executives";246240;86,88;180700;34,97;53,25;83,33;90;90;72750;110760;173320;187200;187200
"General and Operations Managers";2049870;56,35;117200;21,7;31,54;46,77;71,95;90;45130;65610;97270;149660;187200
"Legislators";55020;NA;40430;NA;NA;NA;NA;NA;16710;18010;20180;59720;87880
"Advertising, Marketing, Promotions, Public Relations, and Sales Managers";629670;61,48;127880;26,86;37,59;54,92;77,85;90;55870;78190;114230;161940;187200
"Advertising and Promotions Managers";29340;55,15;114700;21,66;31,64;46,5;71,3;90;45060;65810;96720;148300;187200
"Marketing and Sales Managers";543410;62,45;129900;27,24;38,27;56,01;79,17;90;56670;79590;116490;164660;187200
"Marketing Managers";184490;66,06;137400;31,72;43,57;61,12;82,4;90;65980;90630;127130;171390;187200
"Sales Managers";358920;60,6;126040;25,78;35,8;53,2;77,18;90;53620;74470;110660;160520;187200
"Public Relations and Fundraising Managers";56920;55,48;115400;26,64;35,53;48,8;68,8;90;55420;73910;101510;143110;187200
"Operations Specialties Managers";1624000;56,44;117390;27,87;37,19;50,84;69,36;90;57960;77360;105750;144270;187200
"Administrative Services Managers";268730;44,35;92250;21,92;29,81;40,28;54,36;71,72;45590;62000;83790;113070;149180
"Computer and Information Systems Managers";330360;65,52;136280;37,73;47,75;61,37;77,66;90;78470;99320;127640;161520;187200
"Financial Managers";518030;62,61;130230;30,04;40,02;55,44;76,55;90;62480;83230;115320;159230;187200
"Industrial Production Managers";167200;48,87;101640;27,06;34,35;44,46;58,31;76,04;56290;71440;92470;121280;158170
"Purchasing Managers";70840;53,76;111810;29,25;37,96;51,01;65,57;81,25;60840;78950;106090;136390;169000
"Transportation, Storage, and Distribution Managers";106000;44,8;93180;24,35;31,3;41,06;54,04;70,25;50640;65100;85400;112400;146110
"Compensation and Benefits Managers";16380;57,05;118670;28,06;38,01;51,96;70,79;90;58370;79060;108070;147240;187200
"Human Resources Managers";116610;54,88;114140;29,06;37,65;49,41;66,5;88,26;60440;78310;102780;138320;183590
"Training and Development Managers";29870;53,38;111030;27,85;36,83;49,01;64,95;85,75;57920;76600;101930;135090;178360
"Other Management Occupations";2136840;45,06;93720;19,86;28,14;40,77;56,46;74,59;41310;58530;84800;117440;155150
"Farmers, Ranchers, and Other Agricultural Managers";4300;34,89;72570;16,43;22,52;32,72;43,11;58,5;34170;46830;68050;89660;121690
"Construction Managers";227710;45,47;94590;24,51;31,42;41,17;54,98;72,23;50990;65350;85630;114360;150250
"Education Administrators";441950;43,23;89920;21,99;30,74;40,76;52,68;66,84;45730;63940;84780;109570;139020
"Education Administrators, Preschool and Childcare Center/Program";47150;25,09;52190;13,71;16,78;21,76;29,91;41,88;28520;34900;45260;62210;87120
"Education Administrators, Elementary and Secondary School";231800;NA;91780;NA;NA;NA;NA;NA;59250;72140;89540;110250;129300
"Education Administrators, Postsecondary";131070;48,99;101910;24,15;31,33;42,49;58,98;83,65;50240;65160;88390;122680;174000
"Education Administrators, All Other";31920;39,88;82960;20,44;26,9;37,03;48,68;61,29;42520;55960;77020;101260;127480
"Architectural and Engineering Managers";179320;66,69;138720;40,18;50,32;62,8;78,22;90;83580;104670;130620;162690;187200
"Food Service Managers";198610;25,72;53500;14,38;18,38;23,34;30,26;39,59;29920;38230;48560;62930;82360
"Funeral Service Managers";8330;38,98;81080;18,68;25,26;33,11;45,09;66,06;38850;52540;68870;93790;137410
"Gaming Managers";3870;36,34;75590;19,75;24,8;32,36;42,48;57,67;41090;51570;67310;88360;119950
"Lodging Managers";31740;27,51;57230;13,76;17,42;22,93;31,59;45,57;28630;36230;47680;65720;94780
"Medical and Health Services Managers";310320;49,84;103680;26,87;34,53;44,62;58,05;77,47;55890;71820;92810;120740;161150
"Natural Sciences Managers";53290;65,6;136450;33,67;44,34;57,71;79,43;90;70020;92230;120050;165210;187200
"Postmasters and Mail Superintendents";17930;32,21;67000;24,76;27,58;31,64;37,32;41,22;51510;57370;65800;77630;85730
"Property, Real Estate, and Community Association Managers";171140;31,67;65880;13,58;18,38;26,09;37,61;56,31;28240;38230;54270;78230;117130
"Social and Community Service Managers";116670;32,56;67730;18,4;23,33;30,16;39,18;50,26;38260;48530;62740;81500;104540
"Emergency Management Directors";9770;33,56;69810;16,04;22,17;30,94;42,77;56,2;33370;46120;64360;88970;116900
"Miscellaneous Managers";361900;52,99;110210;25,96;36,61;50,51;64,82;81,13;53990;76140;105060;134820;168740
"Managers, All Other";361900;52,99;110210;25,96;36,61;50,51;64,82;81,13;53990;76140;105060;134820;168740
"Business and Financial Operations Occupations";6828940;34,81;72410;17,31;23,02;31,15;42,16;55,95;36010;47880;64790;87700;116380
"Business Operations Specialists";4264370;33,69;70060;17;22,62;30,71;41,27;53,69;35360;47060;63880;85830;111680
"Agents and Business Managers of Artists, Performers, and Athletes";11860;46,74;97220;13,29;18,67;30,87;57,83;90;27640;38840;64200;120290;187200
"Buyers and Purchasing Agents";410230;30,22;62850;16,52;21,29;28,14;37,05;46,67;34370;44280;58520;77070;97070
"Buyers and Purchasing Agents, Farm Products";11250;29,02;60350;14,35;19,6;26,48;35,44;47,38;29850;40760;55080;73710;98550
"Wholesale and Retail Buyers, Except Farm Products";110560;27,98;58190;14,28;18,7;25,13;33,78;45,14;29700;38890;52270;70260;93900
"Purchasing Agents, Except Wholesale, Retail, and Farm Products";288430;31,12;64730;17,88;22,45;29,32;38,06;47,08;37180;46690;60980;79170;97930
"Claims Adjusters, Appraisers, Examiners, and Investigators";279980;30,56;63560;18,19;22,82;29,95;36,9;44,49;37830;47460;62300;76740;92540
"Claims Adjusters, Examiners, and Investigators";266280;30,53;63500;18,07;22,65;29,91;36,94;44,53;37580;47120;62220;76840;92620
"Insurance Appraisers, Auto Damage";13690;31,13;64750;20,92;25,44;30,49;36,32;43,68;43510;52910;63420;75560;90840
"Compliance Officers";246970;32,69;68000;17,77;23,19;31,23;39,99;48,68;36970;48230;64950;83180;101260
"Cost Estimators";209130;30,93;64340;16,56;21,7;28,87;37,87;47,77;34450;45130;60050;78760;99370
"Human Resources Workers";536900;29,85;62100;15,2;20,32;27,57;36,77;47,7;31610;42270;57340;76490;99210
"Human Resources Specialists";456170;30,09;62590;16,17;20,72;27,6;36,56;47,18;33630;43090;57420;76050;98130
"Farm Labor Contractors";950;22,98;47790;9,41;10,75;19,77;29,87;42,62;19560;22360;41110;62120;88640
"Labor Relations Specialists";79780;28,56;59410;8,62;12,79;27,38;38,89;51,82;17940;26610;56950;80880;107780
"Logisticians";125670;36,94;76830;22,06;27,83;35,51;44,65;54,78;45880;57880;73870;92870;113940
"Management Analysts";587450;43,68;90860;21,81;28,82;38,89;52,08;71,21;45360;59940;80880;108320;148110
"Meeting, Convention, and Event Planners";77940;24,48;50910;12,47;16,67;22,35;29,6;39,45;25940;34680;46490;61570;82060
"Fundraisers";55230;27,33;56840;15;19,3;25,21;33,84;43,35;31190;40140;52430;70400;90160
"Compensation, Benefits, and Job Analysis Specialists";80970;30,95;64380;18,53;22,6;29,13;36,87;46,33;38540;47010;60600;76690;96360
"Training and Development Specialists";239500;29,58;61530;15,38;20,14;27,57;37;46,95;31980;41890;57340;76960;97660
"Market Research Analysts and Marketing Specialists";468160;33,03;68700;16,09;21,32;29,47;41,43;56,13;33460;44350;61290;86170;116740
"Miscellaneous Business Operations Specialists";934370;35,1;73000;17,83;24,08;32,35;43,07;55,33;37090;50080;67280;89600;115090
"Business Operations Specialists, All Other";934370;35,1;73000;17,83;24,08;32,35;43,07;55,33;37090;50080;67280;89600;115090
"Financial Specialists";2564560;36,69;76320;17,93;23,68;31,83;43,58;59,66;37290;49250;66220;90640;124090
"Accountants and Auditors";1187310;35,42;73670;19,64;24,58;31,7;42,08;55,75;40850;51130;65940;87530;115950
"Appraisers and Assessors of Real Estate";63220;27,89;58010;12,97;17,97;25,27;35,52;45,68;26980;37380;52570;73880;95020
"Budget Analysts";57120;35,55;73940;22,23;27,28;34,24;42,98;51,55;46230;56730;71220;89410;107230
"Credit Analysts";69390;36,52;75970;19,27;24,07;32,22;43,91;60,6;40090;50070;67020;91330;126050
"Financial Analysts and Advisors";550820;45,33;94290;20,14;26,75;36,7;53,1;84,88;41890;55650;76340;110440;176540
"Financial Analysts";262610;44,35;92250;23,16;29,01;37,8;51,27;74,36;48170;60350;78620;106640;154680
"Personal Financial Advisors";196490;51,97;108090;17,07;25,28;38,97;66,99;90;35500;52590;81060;139350;187200
"Insurance Underwriters";91720;33,93;70570;18,87;23,63;30,88;41,35;54,33;39260;49150;64220;86020;113010
"Financial Examiners";36830;41,57;86460;21,47;27,39;36,69;51,63;70,28;44660;56960;76310;107400;146190
"Credit Counselors and Loan Officers";330180;34,29;71330;15,57;20,5;28,91;41,85;60,04;32380;42630;60120;87060;124890
"Credit Counselors";29600;22,89;47600;13,87;16,51;20,24;25,63;34,82;28850;34340;42110;53300;72420
"Loan Officers";300580;35,42;73670;15,89;21,35;30,11;43,26;61,73;33050;44400;62620;89970;128390
"Tax Examiners, Collectors and Preparers, and Revenue Agents";132230;24,11;50140;10,26;14,68;21,66;30,51;42,94;21340;30530;45060;63470;89310
"Tax Examiners and Collectors, and Revenue Agents";63640;27,35;56890;15,1;19,11;24,58;33,85;45,36;31410;39750;51120;70400;94350
"Tax Preparers";68590;21,09;43870;9,11;11,48;17,3;27,04;38,78;18950;23880;35990;56250;80660
"Miscellaneous Financial Specialists";137460;34,24;71230;17,75;23,23;31,46;41,59;53,54;36920;48320;65440;86500;111350
"Financial Specialists, All Other";137460;34,24;71230;17,75;23,23;31,46;41,59;53,54;36920;48320;65440;86500;111350
"Computer and Mathematical Occupations";3834180;40,37;83970;19,78;27,36;38,18;51,12;64,66;41130;56920;79420;106330;134500
"Computer Occupations";3692980;40,31;83840;19,72;27,33;38,17;51,08;64,53;41010;56840;79390;106250;134220
"Computer and Information Research Scientists";24210;54,42;113190;31,74;41,28;52,09;64,6;79,61;66030;85870;108360;134380;165600
"Computer and Information Analysts";608500;42,25;87890;24,39;31,15;40,13;51,12;63,44;50730;64800;83470;106320;131960
"Computer Systems Analysts";528320;41,98;87320;24,42;31,02;39,76;50,46;62,49;50780;64520;82710;104950;129980
"Information Security Analysts";80180;44,04;91600;24,18;32,23;42,74;54,8;67,53;50300;67030;88890;113990;140460
"Software Developers and Programmers";1492040;45,81;95280;24,48;32,98;43,9;56,8;70,74;50920;68600;91320;118140;147140
"Computer Programmers";302150;39,75;82690;21,22;28,46;37,28;48,28;61,36;44140;59200;77550;100410;127640
