"State";"Per capita income";"Median household income";"Median family income";"Population";"Number of households"
"Mississippi";20618;39031;48471;2976872;1088073
"Arkansas";22170;40768;50759;2933369;1129723
"Idaho";22568;46767;55905;1583364;579797
"West Virginia";22966;41043;52165;1853619;741390
"Kentucky";23462;43036;54279;4361333;1694996
"Alabama";23680;43253;54362;4799277;1838683
"New Mexico";23763;44927;54513;2069706;761938
"Utah";23873;58821;66646;2813673;886770
"South Carolina";23943;44779;55058;4679602;1780251
"Oklahoma";24208;45339;56464;3785742;1444081
"Tennessee";24409;44298;54779;6402387;2475195
"Louisiana";24442;44874;56288;4567968;1707852
"Indiana";24635;48248;59911;6514861;2481793
"Georgia";25182;49179;58755;9810417;3518097
"North Carolina";25284;46334;56928;9651380;3715565
"Arizona";25358;49774;58897;6479703;2370289
"Montana";25373;46230;59743;998554;405525
"Missouri";25649;47380;59527;6007182;2360131
"Michigan";25681;48411;60793;9886095;3823280
"South Dakota";25740;49495;63195;825198;323136
"Texas";26019;51900;61066;25639373;8886471
"Ohio";26046;48308;61371;11549590;4557655
"Florida";26236;46956;56738;19091156;7158980
"Nevada";26589;52800;61359;2730066;999016
"Oregon";26809;50229;61609;3868721;1516456
"Maine";26824;48453;61107;1328320;553823
"Nebraska";26899;51672;65328;1841625;725787
"Kansas";26929;51332;65069;2868107;1110440
"Iowa";27027;51843;65802;3062553;1226547
"Wisconsin";27523;52413;66534;5706871;2288332
"United States";28155;53046;64719;311536594;115610216
"Pennsylvania";28502;52548;66646;12731381;4958427
"Wyoming";28902;57406;70868;570134;222846
"Vermont";29167;54267;68111;625904;257004
"Hawaii";29305;67402;79963;1376298;449771
"California";29527;61094;69661;37659181;12542460
"Illinois";29666;56797;70344;12848554;4772723
"North Dakota";29732;53741;70767;689781;287270
"Delaware";29819;59878;71811;908446;335707
"Rhode Island";30469;56361;72717;1051695;410058
"Washington";30742;59478;72168;6819579;2629126
"Minnesota";30913;59836;74683;5347740;2107232
"Colorado";31109;58433;72687;5119329;1977591
"New York";32382;58003;70670;19487053;7234743
"Alaska";32651;70760;82870;720316;251899
"New Hampshire";33134;64916;79886;1319171;518245
"Virginia";33493;63907;76754;8100653;3022739
"Massachusetts";35763;66866;84900;6605058;2530147
"New Jersey";36027;71629;87347;8832406;3186418
"Maryland";36354;73538;88738;5834299;2146240
"Connecticut";37892;69461;87245;3583561;1355849
"Washington, D.C.";45290;65830;79665;619371;263649
